Idx,X,Y,X_interp,Y_interp,azimuth,elevation,azimuth_interp,elevation_interp,x_light,y_light
1,-4.26295e-17,-0,-0.0038,0.0024,0,-2.44249e-15,147.724,0.257171,-0.00303523,0.0304336
2,0,0,0.0047,0.0022,60,0,25.0836,0.297394,-0.00301417,0.030359
3,-0,0,-0.0038,0.0024,120,0,147.724,0.257171,-0.00264067,0.0303744
4,-0,-0,0.0002,-0.0016,180,0,277.125,0.0927874,-0.00351827,0.0309337
5,-0,-0,-0.0043,0.0029,240,0,146.004,0.297394,-0.00360767,0.0302801
6,0,-0,0.0002,0.0074,300,0,88.4518,0.424285,-0.00339313,0.0299704
7,0.0174524,1.08216e-18,0.0134,0.0026,3.55271e-15,1,10.9806,0.782097,-0.00672827,0.0301016
8,0.0087262,0.0151142,0.0048,0.0205,60,1,76.8218,1.20642,-0.00451632,0.0272872
9,-0.0087262,0.0151142,-0.0083,0.0166,120,1,116.565,1.06349,-0.00160479,0.0275511
10,-0.0174524,-1.52574e-09,-0.0129,0.0035,180,1,164.82,0.765917,-5.39113e-05,0.0305138
11,-0.0087262,-0.0151142,-0.0129,-0.0141,240,1,227.545,1.09504,-0.00153597,0.0335759
12,0.0087262,-0.0151142,0.0134,-0.014,300,1,313.746,1.11047,-0.00530297,0.0333522
13,0.0348995,2.164e-18,0.0347,0.0003,3.55271e-15,2,0.49534,1.98859,-0.0100948,0.0304175
14,0.0174497,0.0302239,0.0129,0.039,60,2,71.6974,2.35426,-0.00612005,0.0238655
15,-0.0174497,0.0302239,-0.0175,0.0263,120,2,123.64,1.81024,0.000321509,0.0251045
16,-0.0348995,-3.05101e-09,-0.0302,0.0045,180,2,171.525,1.74966,0.00317435,0.0301496
17,-0.0174497,-0.0302239,-0.0129,-0.0303,240,2,246.938,1.8872,-0.000281332,0.0365865
18,0.0174497,-0.0302239,0.0174,-0.0263,300,2,303.488,1.8071,-0.00660763,0.0359808
19,0.052336,3.24517e-18,0.0479,0.0041,3.55271e-15,3,4.89231,2.75556,-0.0135894,0.030206
20,0.026168,0.0453243,0.0262,0.0517,60,3,63.1255,3.32272,-0.00809301,0.0208125
21,-0.026168,0.0453243,-0.0301,0.0479,120,3,122.145,3.24311,0.00195705,0.0218225
22,-0.052336,-4.57535e-09,-0.0577,0.0028,180,3,177.222,3.31168,0.00667243,0.0303906
23,-0.026168,-0.0453243,-0.026,-0.0444,240,3,239.647,2.94929,0.00147104,0.0395293
24,0.026168,-0.0453243,0.0265,-0.0452,300,3,300.382,3.00342,-0.00901679,0.0390098
25,0.0697565,4.32536e-18,0.0666,0.0013,3.55271e-15,4,1.11824,3.81947,-0.016698,0.0300781
26,0.0348782,0.0604109,0.036,0.0675,60,4,61.9275,4.3874,-0.00943038,0.0178039
27,-0.0348782,0.0604109,-0.0396,0.0639,120,4,121.787,4.3113,0.00373306,0.0181243
28,-0.0697565,-6.0983e-09,-0.0762,0.0022,180,4,178.346,4.37202,0.0105115,0.031101
29,-0.0348782,-0.0604109,-0.0302,-0.0571,240,4,242.126,3.70359,0.0031477,0.0423729
30,0.0348782,-0.0604109,0.0351,-0.053,300,4,303.515,3.6447,-0.0104868,0.0418131
31,0.0871557,5.40423e-18,0.0864,-0.0004,3.55271e-15,5,359.735,4.95658,-0.0202603,0.0300374
32,0.0435779,0.0754791,0.0441,0.0768,60,5,60.1348,5.08084,-0.0118658,0.0155705
33,-0.0435779,0.0754791,-0.0438,0.0689,120,5,122.444,4.68304,0.00542082,0.0158589
34,-0.0871557,-7.6194e-09,-0.0899,-0.0013,180,5,180.828,5.15841,0.0131428,0.0309997
35,-0.0435779,-0.0754791,-0.0439,-0.0713,240,5,238.379,4.80306,0.00529887,0.0452297
36,0.0435779,-0.0754791,0.0442,-0.073,300,5,301.194,4.89549,-0.012213,0.0450877
37,0.104528,6.48145e-18,0.1017,0.0013,3.55271e-15,6,0.732355,5.83754,-0.0235965,0.0302842
38,0.0522642,0.0905243,0.0493,0.0886,60,6,60.907,5.81935,-0.0135348,0.0126397
39,-0.0522642,0.0905243,-0.0532,0.0945,120,6,119.378,6.22573,0.00706272,0.0124684
40,-0.104528,-9.13817e-09,-0.1084,-0.0024,180,6,181.268,6.22463,0.0166796,0.0311469
