id,X,Y,x_light,y_light,elevation,azimuth
0,NaN,NaN,-0.2048,0.256,NaN,NaN
1,NaN,NaN,-0.1792,0.256,NaN,NaN
2,NaN,NaN,-0.1536,0.256,NaN,NaN
3,NaN,NaN,-0.128,0.256,NaN,NaN
4,NaN,NaN,-0.1024,0.256,NaN,NaN
5,NaN,NaN,-0.0768,0.256,NaN,NaN
6,NaN,NaN,-0.0512,0.256,NaN,NaN
7,NaN,NaN,-0.0256,0.256,NaN,NaN
8,NaN,NaN,0.0,0.256,NaN,NaN
9,NaN,NaN,0.0256,0.256,NaN,NaN
10,NaN,NaN,0.0512,0.256,NaN,NaN
11,NaN,NaN,0.0768,0.256,NaN,NaN
12,NaN,NaN,0.1024,0.256,NaN,NaN
13,NaN,NaN,0.128,0.256,NaN,NaN
14,NaN,NaN,0.1536,0.256,NaN,NaN
15,NaN,NaN,0.1792,0.256,NaN,NaN
16,NaN,NaN,0.2048,0.256,NaN,NaN
17,NaN,NaN,-0.2048,0.2304,NaN,NaN
18,NaN,NaN,-0.1792,0.2304,NaN,NaN
19,NaN,NaN,-0.1536,0.2304,NaN,NaN
20,NaN,NaN,-0.128,0.2304,NaN,NaN
21,0.43655,-0.76429,-0.1024,0.2304,61.664,299.7343
22,0.31888,-0.78463,-0.0768,0.2304,57.8817,292.1172
23,0.20497,-0.79818,-0.0512,0.2304,55.4951,284.4022
24,0.09676,-0.80705,-0.0256,0.2304,54.3733,276.8368
25,-0.0084,-0.8099,0.0,0.2304,54.0904,269.4058
26,-0.11991,-0.80807,0.0256,0.2304,54.7775,261.5594
27,-0.23076,-0.80014,0.0512,0.2304,56.3824,253.9125
28,-0.34577,-0.78561,0.0768,0.2304,59.1302,246.2443
29,NaN,NaN,0.1024,0.2304,NaN,NaN
30,NaN,NaN,0.128,0.2304,NaN,NaN
31,NaN,NaN,0.1536,0.2304,NaN,NaN
32,NaN,NaN,0.1792,0.2304,NaN,NaN
33,NaN,NaN,0.2048,0.2304,NaN,NaN
34,NaN,NaN,-0.2048,0.2048,NaN,NaN
35,NaN,NaN,-0.1792,0.2048,NaN,NaN
36,NaN,NaN,-0.1536,0.2048,NaN,NaN
37,0.54579,-0.66401,-0.128,0.2048,59.2641,309.4189
38,0.44074,-0.68642,-0.1024,0.2048,54.6601,302.7039
39,0.32708,-0.70677,-0.0768,0.2048,51.1494,294.8338
40,0.2119,-0.72221,-0.0512,0.2048,48.8209,286.352
41,0.10162,-0.72939,-0.0256,0.2048,47.4286,277.9315
42,-0.01053,-0.73415,0.0,0.2048,47.2418,269.1783
43,-0.12496,-0.72842,0.0256,0.2048,47.6515,260.2657
44,-0.24106,-0.72048,0.0512,0.2048,49.4411,251.5007
45,-0.35501,-0.70649,0.0768,0.2048,52.2482,243.3206
46,-0.47155,-0.68804,0.1024,0.2048,56.5245,235.5751
47,NaN,NaN,0.128,0.2048,NaN,NaN
48,NaN,NaN,0.1536,0.2048,NaN,NaN
49,NaN,NaN,0.1792,0.2048,NaN,NaN
50,NaN,NaN,0.2048,0.2048,NaN,NaN
51,NaN,NaN,-0.2048,0.1792,NaN,NaN
52,NaN,NaN,-0.1792,0.1792,NaN,NaN
53,0.65554,-0.55908,-0.1536,0.1792,59.4933,319.5407
54,0.5552,-0.58482,-0.128,0.1792,53.7445,313.5117
55,0.45147,-0.60507,-0.1024,0.1792,49.0202,306.7283
56,0.33512,-0.62324,-0.0768,0.1792,45.042,298.2672
57,0.21846,-0.6381,-0.0512,0.1792,42.4122,288.8992
58,0.10367,-0.64743,-0.0256,0.1792,40.971,279.0973
59,-0.01312,-0.64743,0.0,0.1792,40.3581,268.8391
60,-0.12961,-0.64501,0.0256,0.1792,41.1402,258.6381
61,-0.24824,-0.63675,0.0512,0.1792,43.1121,248.7014
62,-0.36611,-0.62392,0.0768,0.1792,46.3362,239.596
63,-0.48012,-0.60343,0.1024,0.1792,50.4556,231.4924
64,-0.59805,-0.58054,0.128,0.1792,56.458,224.1488
65,NaN,NaN,0.1536,0.1792,NaN,NaN
66,NaN,NaN,0.1792,0.1792,NaN,NaN
67,NaN,NaN,0.2048,0.1792,NaN,NaN
68,NaN,NaN,-0.2048,0.1536,NaN,NaN
69,0.76067,-0.44721,-0.1792,0.1536,61.9323,329.5481
70,0.66597,-0.47393,-0.1536,0.1536,54.8243,324.5629
71,0.56529,-0.4965,-0.128,0.1536,48.7963,318.7068
72,0.45983,-0.51794,-0.1024,0.1536,43.8369,311.5988
73,0.34534,-0.535,-0.0768,0.1536,39.5519,302.8421
74,0.22495,-0.54752,-0.0512,0.1536,36.2941,292.3354
75,0.10812,-0.55372,-0.0256,0.1536,34.3452,281.0486
76,-0.01168,-0.55723,0.0,0.1536,33.8729,268.7992
77,-0.13331,-0.55181,0.0256,0.1536,34.5889,256.4183
78,-0.25562,-0.54534,0.0512,0.1536,37.0331,244.8859
79,-0.37423,-0.53194,0.0768,0.1536,40.5711,234.8729
80,-0.49012,-0.51372,0.1024,0.1536,45.2364,226.3468
81,-0.60448,-0.49036,0.128,0.1536,51.1109,219.0493
82,-0.72081,-0.4591,0.1536,0.1536,58.7155,212.494
83,NaN,NaN,0.1792,0.1536,NaN,NaN
84,NaN,NaN,0.2048,0.1536,NaN,NaN
85,NaN,NaN,-0.2048,0.128,NaN,NaN
86,0.76575,-0.35871,-0.1792,0.128,57.7367,334.8996
87,0.67275,-0.38442,-0.1536,0.128,50.7902,330.2557
88,0.57761,-0.40229,-0.128,0.128,44.7405,325.1438
89,0.46816,-0.42328,-0.1024,0.128,39.1344,317.8822
90,0.35232,-0.43715,-0.0768,0.128,34.1563,308.867
91,0.22908,-0.44746,-0.0512,0.128,30.1782,297.1105
92,0.10877,-0.45502,-0.0256,0.128,27.8942,283.444
93,-0.01328,-0.45868,0.0,0.128,27.3144,268.3416
94,-0.13841,-0.45552,0.0256,0.128,28.4299,253.0986
95,-0.26507,-0.44263,0.0512,0.128,31.0596,239.0846
96,-0.38319,-0.43225,0.0768,0.128,35.2851,228.443
97,-0.49778,-0.41746,0.1024,0.128,40.516,219.9847
98,-0.61124,-0.39461,0.128,0.128,46.6815,212.8459
99,-0.72289,-0.36879,0.1536,0.128,54.2454,207.0289
100,NaN,NaN,0.1792,0.128,NaN,NaN
101,NaN,NaN,0.2048,0.128,NaN,NaN
102,NaN,NaN,-0.2048,0.1024,NaN,NaN
103,0.77603,-0.26177,-0.1792,0.1024,54.9839,341.3597
104,0.68567,-0.28427,-0.1536,0.1024,47.9245,337.4817
105,0.58646,-0.302,-0.128,0.1024,41.2733,332.7536
106,0.47739,-0.31784,-0.1024,0.1024,34.9959,326.3448
107,0.35806,-0.3307,-0.0768,0.1024,29.1706,317.2748
108,0.23702,-0.34042,-0.0512,0.1024,24.5071,304.8479
109,0.11007,-0.34648,-0.0256,0.1024,21.318,287.624
110,-0.01773,-0.34888,0.0,0.1024,20.4464,267.0907
111,-0.14279,-0.34338,0.0256,0.1024,21.8319,247.4207
112,-0.27121,-0.33763,0.0512,0.1024,25.6625,231.2259
113,-0.39115,-0.32292,0.0768,0.1024,30.4791,219.5419
114,-0.50688,-0.31191,0.1024,0.1024,36.524,211.6062
115,-0.61841,-0.29243,0.128,0.1024,43.1622,205.3082
116,-0.72688,-0.2691,0.1536,0.1024,50.8135,200.3152
117,-0.84438,-0.23693,0.1792,0.1024,61.2815,195.6739
118,NaN,NaN,0.2048,0.1024,NaN,NaN
119,NaN,NaN,-0.2048,0.0768,NaN,NaN
120,0.78355,-0.16257,-0.1792,0.0768,53.1528,348.2786
121,0.69386,-0.17863,-0.1536,0.0768,45.765,345.5631
122,0.59486,-0.19165,-0.128,0.0768,38.68,342.1423
123,0.4849,-0.20603,-0.1024,0.0768,31.7932,336.9798
124,0.36592,-0.21728,-0.0768,0.0768,25.1866,329.2985
125,0.23926,-0.22371,-0.0512,0.0768,19.1204,316.9237
126,0.1107,-0.22889,-0.0256,0.0768,14.7294,295.8102
127,-0.01718,-0.23143,0.0,0.0768,13.4188,265.7545
128,-0.14686,-0.2268,0.0256,0.0768,15.676,237.0757
129,-0.27846,-0.2182,0.0512,0.0768,20.7179,218.0821
130,-0.39923,-0.21008,0.0768,0.0768,26.8162,207.7539
131,-0.51147,-0.19823,0.1024,0.0768,33.2669,201.1848
132,-0.62499,-0.18207,0.128,0.0768,40.6148,196.2417
133,-0.72923,-0.16617,0.1536,0.0768,48.4108,192.8368
134,-0.83964,-0.13976,0.1792,0.0768,58.3416,189.4504
135,NaN,NaN,0.2048,0.0768,NaN,NaN
136,NaN,NaN,-0.2048,0.0512,NaN,NaN
137,0.78812,-0.0613,-0.1792,0.0512,52.2323,355.5525
138,0.69742,-0.07294,-0.1536,0.0512,44.5253,354.0294
139,0.59925,-0.08051,-0.128,0.0512,37.2025,352.3481
140,0.48811,-0.08851,-0.1024,0.0512,29.7403,349.7221
141,0.37255,-0.09621,-0.0768,0.0512,22.6296,345.5199
142,0.24309,-0.10084,-0.0512,0.0512,15.2586,337.4701
143,0.11103,-0.10452,-0.0256,0.0512,8.771,316.7299
144,-0.01702,-0.10335,0.0,0.0512,6.0123,260.6483
145,-0.15057,-0.10107,0.0256,0.0512,10.4482,213.8715
146,-0.28088,-0.09585,0.0512,0.0512,17.2646,198.8422
147,-0.4018,-0.0912,0.0768,0.0512,24.3318,192.7882
148,-0.51632,-0.08156,0.1024,0.0512,31.515,188.9765
149,-0.62775,-0.07261,0.128,0.0512,39.1931,186.5979
150,-0.73308,-0.06028,0.1536,0.0512,47.3541,184.7008
151,-0.84064,-0.03825,0.1792,0.0512,57.2999,182.6052
152,NaN,NaN,0.2048,0.0512,NaN,NaN
153,NaN,NaN,-0.2048,0.0256,NaN,NaN
154,0.7881,0.04148,-0.1792,0.0256,52.11,3.0129
155,0.69732,0.03647,-0.1536,0.0256,44.2886,2.9939
156,0.60107,0.03235,-0.128,0.0256,37.009,3.0807
157,0.49158,0.03078,-0.1024,0.0256,29.5078,3.5829
158,0.37187,0.02754,-0.0768,0.0256,21.8939,4.2355
159,0.24615,0.02551,-0.0512,0.0256,14.3278,5.9168
160,0.11315,0.02481,-0.0256,0.0256,6.652,12.3673
161,-0.01578,0.02625,0.0,0.0256,1.7551,121.0119
162,-0.14984,0.02659,0.0256,0.0256,8.7533,169.9373
163,-0.2831,0.03064,0.0512,0.0256,16.5441,173.8229
164,-0.4049,0.03362,0.0768,0.0256,23.9722,175.2535
165,-0.51687,0.03757,0.1024,0.0256,31.2138,175.8426
166,-0.62798,0.04408,0.128,0.0256,39.0151,175.9848
167,-0.73227,0.05205,0.1536,0.0256,47.2327,175.9342
168,-0.83869,0.06466,0.1792,0.0256,57.2648,175.5914
169,NaN,NaN,0.2048,0.0256,NaN,NaN
170,NaN,NaN,-0.2048,0.0,NaN,NaN
171,0.78277,0.14728,-0.1792,0.0,52.7976,10.6558
172,0.69119,0.1482,-0.1536,0.0,44.9832,12.1017
173,0.59664,0.15024,-0.128,0.0,37.9712,14.1338
174,0.48608,0.15202,-0.1024,0.0,30.617,17.3669
175,0.36852,0.15223,-0.0768,0.0,23.4984,22.4448
176,0.24293,0.15448,-0.0512,0.0,16.7315,32.4524
177,0.11492,0.15112,-0.0256,0.0,10.9442,52.7486
178,-0.01717,0.15662,0.0,0.0,9.0652,96.2563
179,-0.15116,0.15431,0.0256,0.0,12.4749,134.4092
180,-0.28149,0.15669,0.0512,0.0,18.7937,150.8977
181,-0.40256,0.15526,0.0768,0.0,25.5604,158.9093
182,-0.51378,0.15712,0.1024,0.0,32.4978,162.9957
183,-0.62647,0.15802,0.128,0.0,40.2476,165.8431
184,-0.73035,0.16313,0.1536,0.0,48.4474,167.4092
185,-0.84131,0.17243,0.1792,0.0,59.1819,168.4174
186,NaN,NaN,0.2048,0.0,NaN,NaN
187,NaN,NaN,-0.2048,-0.0256,NaN,NaN
188,0.77309,0.25735,-0.1792,-0.0256,54.5675,18.4118
189,0.68498,0.26158,-0.1536,-0.0256,47.1576,20.9008
190,0.58607,0.26703,-0.128,-0.0256,40.0935,24.4953
191,0.47771,0.27291,-0.1024,-0.0256,33.3787,29.7388
192,0.36096,0.27761,-0.0768,-0.0256,27.0886,37.5635
