Idx,X,Y,x_light,y_light,elevation,azimuth,adc0,adc1,adc2,adc3,adcSum,adc0_percent,adc1_percent,adc2_percent,adc3_percent,min_adc
1,0.0292356,0.0292356,-0.00875279,0.0242365,2.3696,45.0,305.297,296.25,285.922,287.156,1174.625,25.991,25.221,24.342,24.447,24.342
2,-0.0292356,0.0292356,0.00265933,0.0252435,2.3696,135.0,300.609,298.766,287.406,282.453,1169.234,25.71,25.552,24.581,24.157,24.157
3,-0.0292356,-0.0292356,0.00243635,0.0362775,2.3696,225.0,303.375,301.406,283.625,278.812,1167.218,25.991,25.823,24.299,23.887,23.887
4,0.0292356,-0.0292356,-0.00940414,0.0357411,2.3696,315.0,306.688,297.344,280.359,281.984,1166.375,26.294,25.493,24.037,24.176,24.037
5,0.0877074,0.0292358,-0.0206773,0.0247397,5.30467,18.4349,303.547,287.672,277.344,285.328,1153.891,26.306,24.931,24.036,24.727,24.036
6,0.0292358,0.0877074,-0.00844394,0.0124636,5.30467,71.565,297.406,289.0,285.297,286.672,1158.375,25.674,24.949,24.629,24.748,24.629
7,-0.0292358,0.0877074,0.0028265,0.0139432,5.30467,108.435,293.562,292.172,287.141,282.484,1155.359,25.409,25.288,24.853,24.45,24.45
8,-0.0877074,0.0292358,0.0135186,0.0249199,5.30467,161.565,292.531,297.406,285.969,275.281,1151.187,25.411,25.835,24.841,23.913,23.913
9,-0.0877074,-0.0292358,0.0132457,0.0365475,5.30467,198.435,297.172,301.969,283.703,273.188,1156.032,25.706,26.121,24.541,23.632,23.632
10,-0.0292358,-0.0877074,0.00240378,0.0481026,5.30467,251.565,304.297,302.047,277.859,272.828,1157.031,26.3,26.105,24.015,23.58,23.58
11,0.0292358,-0.0877074,-0.00946262,0.047664,5.30467,288.435,307.938,298.406,274.875,276.297,1157.516,26.603,25.78,23.747,23.87,23.747
12,0.0877074,-0.0292358,-0.0207064,0.0355913,5.30467,341.565,307.656,291.328,275.094,282.719,1156.797,26.596,25.184,23.781,24.44,23.781
13,0.0877072,0.0877072,-0.0206665,0.0131465,7.12513,45.0,300.656,284.562,281.125,288.906,1155.249,26.025,24.632,24.335,25.008,24.335
14,-0.0877073,0.0877072,0.0135025,0.0132852,7.12513,135.0,289.047,293.719,289.172,278.312,1150.25,25.129,25.535,25.14,24.196,24.196
15,-0.0877072,-0.0877072,0.0140504,0.0480327,7.12513,225.0,298.203,303.188,278.703,267.562,1147.656,25.984,26.418,24.285,23.314,23.314
