id,X,Y,x_light,y_light,Extrapolated
0,0.7160144630811162,-0.6138965093141852,-0.2048,0.256,True
1,0.6585217607532174,-0.6772425331585175,-0.1792,0.256,True
2,0.5885146961044593,-0.7239009649079127,-0.1536,0.256,True
3,0.5042170436542974,-0.7721796212174664,-0.128,0.256,True
4,0.40861334851022035,-0.8041574270407719,-0.1024,0.256,True
5,0.3028904872375918,-0.8326642129240179,-0.0768,0.256,True
6,0.19591121659964206,-0.8486157933134006,-0.0512,0.256,True
7,0.08810740558279773,-0.8523602066845439,-0.0256,0.256,True
8,-0.0058334131065848754,-0.8445294657438276,0.0,0.256,True
9,-0.11105277509525543,-0.8610685530970328,0.0256,0.256,True
10,-0.2149365933570356,-0.8527920938155071,0.0512,0.256,True
11,-0.32413899899028753,-0.8313191445448994,0.0768,0.256,True
12,-0.43014083410161114,-0.8082957075394769,0.1024,0.256,True
13,-0.534973358411882,-0.766722221948021,0.128,0.256,True
14,-0.6147325796594083,-0.7128144788682648,0.1536,0.256,True
15,-0.7018648896457675,-0.6590145660329657,0.1792,0.256,True
16,-0.7612019364032824,-0.587604154426558,0.2048,0.256,True
17,0.7508544921875,-0.5777587890625,-0.2048,0.2304,True
18,0.6867645125886623,-0.6357072977854282,-0.1792,0.2304,True
19,0.6113223381079221,-0.6816000754910567,-0.1536,0.2304,True
20,0.524326248992138,-0.7208143197849911,-0.128,0.2304,True
21,0.43217,-0.76472,-0.1024,0.2304,False
22,0.31949,-0.78232,-0.0768,0.2304,False
23,0.20435,-0.79756,-0.0512,0.2304,False
24,0.10396,-0.80759,-0.0256,0.2304,False
25,-0.01142,-0.81145,0.0,0.2304,False
26,-0.1216,-0.80776,0.0256,0.2304,False
27,-0.23137,-0.80072,0.0512,0.2304,False
28,-0.34529,-0.78736,0.0768,0.2304,False
29,-0.44932867302787505,-0.7519290097122948,0.1024,0.2304,True
30,-0.5561294909983638,-0.716371416630559,0.128,0.2304,True
31,-0.6415003880442433,-0.6726543455847398,0.1536,0.2304,True
32,-0.7261277027722789,-0.6167467000081492,0.1792,0.2304,True
33,-0.7992146130099468,-0.5555082657003435,0.2048,0.2304,True
34,0.7861256009175108,-0.5359751866199379,-0.2048,0.2048,True
35,0.7152319932825122,-0.5841513555532221,-0.1792,0.2048,True
36,0.6322682617835073,-0.6248513722693523,-0.1536,0.2048,True
37,0.54519,-0.66623,-0.128,0.2048,False
38,0.44267,-0.68791,-0.1024,0.2048,False
39,0.32809,-0.70473,-0.0768,0.2048,False
40,0.21286,-0.72104,-0.0512,0.2048,False
41,0.10146,-0.72763,-0.0256,0.2048,False
42,-0.01206,-0.7337,0.0,0.2048,False
43,-0.12532,-0.72884,0.0256,0.2048,False
44,-0.23711,-0.71935,0.0512,0.2048,False
45,-0.35257,-0.70725,0.0768,0.2048,False
46,-0.47515,-0.68725,0.1024,0.2048,False
47,-0.5726541981754724,-0.6535176474415052,0.128,0.2048,True
48,-0.6680207124034255,-0.6109437197224907,0.1536,0.2048,True
49,-0.753733343827323,-0.5640949737241119,0.1792,0.2048,True
50,-0.8334620155959437,-0.5074503395118155,0.2048,0.2048,True
51,0.8092045995218055,-0.4776857289804849,-0.2048,0.1792,True
52,0.7381698795531588,-0.5185769113615005,-0.1792,0.1792,True
53,0.65788,-0.55928,-0.1536,0.1792,False
54,0.55522,-0.5835,-0.128,0.1792,False
55,0.4501,-0.60605,-0.1024,0.1792,False
56,0.33528,-0.62519,-0.0768,0.1792,False
57,0.21959,-0.63773,-0.0512,0.1792,False
58,0.10333,-0.64648,-0.0256,0.1792,False
59,-0.0111,-0.64851,0.0,0.1792,False
60,-0.12877,-0.64819,0.0256,0.1792,False
61,-0.24824,-0.63849,0.0512,0.1792,False
62,-0.362,-0.62464,0.0768,0.1792,False
63,-0.47822,-0.60385,0.1024,0.1792,False
64,-0.59528,-0.57936,0.128,0.1792,False
65,-0.6932510342320595,-0.5400464797699749,0.1536,0.1792,True
66,-0.7837311040370152,-0.49923557372024374,0.1792,0.1792,True
67,-0.8678188739894523,-0.44738644505698033,0.2048,0.1792,True
68,0.8273281682814376,-0.40719499591559416,-0.2048,0.1536,True
69,0.75934,-0.44921,-0.1792,0.1536,False
70,0.67088,-0.47217,-0.1536,0.1536,False
71,0.569,-0.4954,-0.128,0.1536,False
72,0.46202,-0.51649,-0.1024,0.1536,False
73,0.3441,-0.53447,-0.0768,0.1536,False
74,0.22683,-0.54405,-0.0512,0.1536,False
75,0.10802,-0.55488,-0.0256,0.1536,False
76,-0.01072,-0.55825,0.0,0.1536,False
77,-0.13305,-0.55342,0.0256,0.1536,False
78,-0.25312,-0.546,0.0512,0.1536,False
79,-0.3725,-0.53249,0.0768,0.1536,False
80,-0.49002,-0.51375,0.1024,0.1536,False
81,-0.6022,-0.48896,0.128,0.1536,False
82,-0.72209,-0.4623,0.1536,0.1536,False
