id,X,Y,azimuth,elevation,x_light,y_light,new_indexes
22,0.31888,-0.78463,292.1172,57.8817,-0.0768,0.2304,0
23,0.20497,-0.79818,284.4022,55.4951,-0.0512,0.2304,1
41,0.10162,-0.72939,277.9315,47.4286,-0.0256,0.2048,2
42,-0.01053,-0.73415,269.1783,47.2418,0.0,0.2048,3
43,-0.12496,-0.72842,260.2657,47.6515,0.0256,0.2048,4
44,-0.24106,-0.72048,251.5007,49.4411,0.0512,0.2048,5
45,-0.35501,-0.70649,243.3206,52.2482,0.0768,0.2048,6
46,-0.47155,-0.68804,235.5751,56.5245,0.1024,0.2048,7
263,-0.01525,0.74779,91.1683,48.4127,0.0,-0.128,8
21,0.43655,-0.76429,299.7343,61.664,-0.1024,0.2304,9
24,0.09676,-0.80705,276.8368,54.3733,-0.0256,0.2304,10
40,0.2119,-0.72221,286.352,48.8209,-0.0512,0.2048,11
112,-0.27121,-0.33763,231.2259,25.6625,0.0512,0.1024,12
111,-0.14279,-0.34338,247.4207,21.8319,0.0256,0.1024,13
97,-0.49778,-0.41746,219.9847,40.516,0.1024,0.128,14
96,-0.38319,-0.43225,228.443,35.2851,0.0768,0.128,15
53,0.65554,-0.55908,319.5407,59.4933,-0.1536,0.1792,16
58,0.10367,-0.64743,279.0973,40.971,-0.0256,0.1792,17
262,0.0935,0.74399,82.837,48.5767,-0.0256,-0.128,18
264,-0.13126,0.74595,99.9798,49.2364,0.0256,-0.128,19
266,-0.35359,0.74913,115.2674,55.9332,0.0768,-0.128,20
25,-0.0084,-0.8099,269.4058,54.0904,0.0,0.2304,21
39,0.32708,-0.70677,294.8338,51.1494,-0.0768,0.2048,22
113,-0.39115,-0.32292,219.5419,30.4791,0.0768,0.1024,23
110,-0.01773,-0.34888,267.0907,20.4464,0.0,0.1024,24
98,-0.61124,-0.39461,212.8459,46.6815,0.128,0.128,25
95,-0.26507,-0.44263,239.0846,31.0596,0.0512,0.128,26
54,0.5552,-0.58482,313.5117,53.7445,-0.128,0.1792,27
57,0.21846,-0.6381,288.8992,42.4122,-0.0512,0.1792,28
59,-0.01312,-0.64743,268.8391,40.3581,0.0,0.1792,29
259,0.42433,0.73336,59.9459,57.9164,-0.1024,-0.128,30
261,0.20684,0.74072,74.398,50.2693,-0.0512,-0.128,31
124,0.36592,-0.21728,329.2985,25.1866,-0.0768,0.0768,32
265,-0.24364,0.7496,108.0055,52.0177,0.0512,-0.128,33
26,-0.11991,-0.80807,261.5594,54.7775,0.0256,0.2304,34
38,0.44074,-0.68642,302.7039,54.6601,-0.1024,0.2048,35
114,-0.50688,-0.31191,211.6062,36.524,0.1024,0.1024,36
109,0.11007,-0.34648,287.624,21.318,-0.0256,0.1024,37
99,-0.72289,-0.36879,207.0289,54.2454,0.1536,0.128,38
94,-0.13841,-0.45552,253.0986,28.4299,0.0256,0.128,39
55,0.45147,-0.60507,306.7283,49.0202,-0.1024,0.1792,40
56,0.33512,-0.62324,298.2672,45.042,-0.0768,0.1792,41
60,-0.12961,-0.64501,258.6381,41.1402,0.0256,0.1792,42
62,-0.36611,-0.62392,239.596,46.3362,0.0768,0.1792,43
250,-0.47761,0.62508,127.3827,51.8746,0.1024,-0.1024,44
260,0.31462,0.73334,66.7795,52.9377,-0.0768,-0.128,45
125,0.23926,-0.22371,316.9237,19.1204,-0.0512,0.0768,46
123,0.4849,-0.20603,336.9798,31.7932,-0.1024,0.0768,47
27,-0.23076,-0.80014,253.9125,56.3824,0.0512,0.2304,48
37,0.54579,-0.66401,309.4189,59.2641,-0.128,0.2048,49
115,-0.61841,-0.29243,205.3082,43.1622,0.128,0.1024,50
108,0.23702,-0.34042,304.8479,24.5071,-0.0512,0.1024,51
103,0.77603,-0.26177,341.3597,54.9839,-0.1792,0.1024,52
93,-0.01328,-0.45868,268.3416,27.3144,0.0,0.128,53
90,0.35232,-0.43715,308.867,34.1563,-0.0768,0.128,54
89,0.46816,-0.42328,317.8822,39.1344,-0.1024,0.128,55
61,-0.24824,-0.63675,248.7014,43.1121,0.0512,0.1792,56
63,-0.48012,-0.60343,231.4924,50.4556,0.1024,0.1792,57
249,-0.3669,0.62706,120.3324,46.5948,0.0768,-0.1024,58
137,0.78812,-0.0613,355.5525,52.2323,-0.1792,0.0512,59
134,-0.83964,-0.13976,189.4504,58.3416,0.1792,0.0768,60
126,0.1107,-0.22889,295.8102,14.7294,-0.0256,0.0768,61
122,0.59486,-0.19165,342.1423,38.68,-0.128,0.0768,62
28,-0.34577,-0.78561,246.2443,59.1302,0.0768,0.2304,63
116,-0.72688,-0.2691,200.3152,50.8135,0.1536,0.1024,64
107,0.35806,-0.3307,317.2748,29.1706,-0.0768,0.1024,65
104,0.68567,-0.28427,337.4817,47.9245,-0.1536,0.1024,66
91,0.22908,-0.44746,297.1105,30.1782,-0.0512,0.128,67
88,0.57761,-0.40229,325.1438,44.7405,-0.128,0.128,68
69,0.76067,-0.44721,329.5481,61.9323,-0.1792,0.1536,69
64,-0.59805,-0.58054,224.1488,56.458,0.128,0.1792,70
74,0.22495,-0.54752,292.3354,36.2941,-0.0512,0.1536,71
75,0.10812,-0.55372,281.0486,34.3452,-0.0256,0.1536,72
248,-0.24993,0.63194,111.5786,42.8099,0.0512,-0.1024,73
138,0.69742,-0.07294,354.0294,44.5253,-0.1536,0.0512,74
133,-0.72923,-0.16617,192.8368,48.4108,0.1536,0.0768,75
128,-0.14686,-0.2268,237.0757,15.676,0.0256,0.0768,76
127,-0.01718,-0.23143,265.7545,13.4188,0.0,0.0768,77
121,0.69386,-0.17863,345.5631,45.765,-0.1536,0.0768,78
117,-0.84438,-0.23693,195.6739,61.2815,0.1792,0.1024,79
106,0.47739,-0.31784,326.3448,34.9959,-0.1024,0.1024,80
92,0.10877,-0.45502,283.444,27.8942,-0.0256,0.128,81
87,0.67275,-0.38442,330.2557,50.7902,-0.1536,0.128,82
70,0.66597,-0.47393,324.5629,54.8243,-0.1536,0.1536,83
71,0.56529,-0.4965,318.7068,48.7963,-0.128,0.1536,84
72,0.45983,-0.51794,311.5988,43.8369,-0.1024,0.1536,85
73,0.34534,-0.535,302.8421,39.5519,-0.0768,0.1536,86
76,-0.01168,-0.55723,268.7992,33.8729,0.0,0.1536,87
247,-0.13423,0.63557,101.9254,40.5107,0.0256,-0.1024,88
139,0.59925,-0.08051,352.3481,37.2025,-0.128,0.0512,89
132,-0.62499,-0.18207,196.2417,40.6148,0.128,0.0768,90
131,-0.51147,-0.19823,201.1848,33.2669,0.1024,0.0768,91
130,-0.39923,-0.21008,207.7539,26.8162,0.0768,0.0768,92
129,-0.27846,-0.2182,218.0821,20.7179,0.0512,0.0768,93
120,0.78355,-0.16257,348.2786,53.1528,-0.1792,0.0768,94
105,0.58646,-0.302,332.7536,41.2733,-0.128,0.1024,95
86,0.76575,-0.35871,334.8996,57.7367,-0.1792,0.128,96
82,-0.72081,-0.4591,212.494,58.7155,0.1536,0.1536,97
81,-0.60448,-0.49036,219.0493,51.1109,0.128,0.1536,98
80,-0.49012,-0.51372,226.3468,45.2364,0.1024,0.1536,99
79,-0.37423,-0.53194,234.8729,40.5711,0.0768,0.1536,100
78,-0.25562,-0.54534,244.8859,37.0331,0.0512,0.1536,101
77,-0.13331,-0.55181,256.4183,34.5889,0.0256,0.1536,102
197,-0.27564,0.28437,134.1069,23.3305,0.0512,-0.0256,103
196,-0.14925,0.28521,117.623,18.7779,0.0256,-0.0256,104
195,-0.01889,0.2842,93.8027,16.5485,0.0,-0.0256,105
194,0.11173,0.28356,68.4943,17.7448,-0.0256,-0.0256,106
193,0.23726,0.2818,49.9045,21.6157,-0.0512,-0.0256,107
192,0.36096,0.27761,37.5635,27.0886,-0.0768,-0.0256,108
191,0.47771,0.27291,29.7388,33.3787,-0.1024,-0.0256,109
168,-0.83869,0.06466,175.5914,57.2648,0.1792,0.0256,110
145,-0.15057,-0.10107,213.8715,10.4482,0.0256,0.0512,111
144,-0.01702,-0.10335,260.6483,6.0123,0.0,0.0512,112
143,0.11103,-0.10452,316.7299,8.771,-0.0256,0.0512,113
142,0.24309,-0.10084,337.4701,15.2586,-0.0512,0.0512,114
141,0.37255,-0.09621,345.5199,22.6296,-0.0768,0.0512,115
140,0.48811,-0.08851,349.7221,29.7403,-0.1024,0.0512,116
246,-0.01506,0.63516,91.3583,39.4451,0.0,-0.1024,117
198,-0.39758,0.28032,144.8137,29.1086,0.0768,-0.0256,118
201,-0.72483,0.27372,159.3118,50.7861,0.1536,-0.0256,119
205,0.75644,0.36769,25.9234,57.2532,-0.1792,-0.0512,120
206,0.67088,0.3717,28.9886,50.0824,-0.1536,-0.0512,121
190,0.58607,0.26703,24.4953,40.0935,-0.128,-0.0256,122
189,0.68498,0.26158,20.9008,47.1576,-0.1536,-0.0256,123
180,-0.28149,0.15669,150.8977,18.7937,0.0512,0.0,124
171,0.78277,0.14728,10.6558,52.7976,-0.1792,0.0,125
156,0.60107,0.03235,3.0807,37.009,-0.128,0.0256,126
155,0.69732,0.03647,2.9939,44.2886,-0.1536,0.0256,127
146,-0.28088,-0.09585,198.8422,17.2646,0.0512,0.0512,128
147,-0.4018,-0.0912,192.7882,24.3318,0.0768,0.0512,129
148,-0.51632,-0.08156,188.9765,31.515,0.1024,0.0512,130
244,0.21382,0.62867,71.2161,41.6085,-0.0512,-0.1024,131
245,0.09967,0.63223,81.0411,39.7947,-0.0256,-0.1024,132
199,-0.51116,0.27684,151.5604,35.543,0.1024,-0.0256,133
200,-0.62105,0.2721,156.3404,42.6909,0.128,-0.0256,134
208,0.46719,0.39136,39.9525,37.5497,-0.1024,-0.0512,135
207,0.57561,0.3804,33.4593,43.6262,-0.128,-0.0512,136
188,0.77309,0.25735,18.4118,54.5675,-0.1792,-0.0256,137
181,-0.40256,0.15526,158.9093,25.5604,0.0768,0.0,138
179,-0.15116,0.15431,134.4092,12.4749,0.0256,0.0,139
172,0.69119,0.1482,12.1017,44.9832,-0.1536,0.0,140
167,-0.73227,0.05205,175.9342,47.2327,0.1536,0.0256,141
157,0.49158,0.03078,3.5829,29.5078,-0.1024,0.0256,142
154,0.7881,0.04148,3.0129,52.11,-0.1792,0.0256,143
150,-0.73308,-0.06028,184.7008,47.3541,0.1536,0.0512,144
149,-0.62775,-0.07261,186.5979,39.1931,0.128,0.0512,145
243,0.32807,0.62147,62.1707,44.6479,-0.0768,-0.1024,146
211,0.10735,0.40794,75.2568,24.9501,-0.0256,-0.0512,147
210,0.23002,0.40356,60.3178,27.6785,-0.0512,-0.0512,148
209,0.35138,0.39804,48.5627,32.0694,-0.0768,-0.0512,149
185,-0.84131,0.17243,168.4174,59.1819,0.1792,0.0,150
182,-0.51378,0.15712,162.9957,32.4978,0.1024,0.0,151
223,0.65654,0.48642,36.5342,54.7953,-0.1536,-0.0768,152
178,-0.01717,0.15662,96.2563,9.0652,0.0,0.0,153
173,0.59664,0.15024,14.1338,37.9712,-0.128,0.0,154
166,-0.62798,0.04408,175.9848,39.0151,0.128,0.0256,155
161,-0.01578,0.02625,121.0119,1.7551,0.0,0.0256,156
158,0.37187,0.02754,4.2355,21.8939,-0.0768,0.0256,157
151,-0.84064,-0.03825,182.6052,57.2999,0.1792,0.0512,158
241,0.54419,0.60408,47.9857,54.3953,-0.128,-0.1024,159
242,0.44181,0.61527,54.3188,49.2412,-0.1024,-0.1024,160
212,-0.01751,0.40848,92.4546,24.1329,0.0,-0.0512,161
213,-0.14482,0.40806,109.5397,25.6579,0.0256,-0.0512,162
184,-0.73035,0.16313,167.4092,48.4474,0.1536,0.0,163
183,-0.62647,0.15802,165.8431,40.2476,0.128,0.0,164
222,0.74038,0.48437,33.1934,62.2204,-0.1792,-0.0768,165
224,0.56027,0.49332,41.364,48.2884,-0.128,-0.0768,166
