Idx,X,Y,x_light,y_light,elevation,azimuth,adc0,adc1,adc2,adc3,adcSum,adc0_percent,adc1_percent,adc2_percent,adc3_percent,min_adc
1,0.31909,-0.7847,-0.0767749,0.231231,57.8973,292.129,183.484,156.172,98.5156,113.562,551.734,33.256,28.306,17.856,20.583,17.856
2,0.20483,-0.79868,-0.0513322,0.230863,55.5406,284.384,192.516,171.281,109.109,118.219,591.125,32.568,28.975,18.458,19.999,18.458
3,0.1018,-0.72946,-0.0256866,0.205428,47.4366,277.945,224.953,209.5,141.656,144.719,720.828,31.208,29.064,19.652,20.077,19.652
4,-0.00989939,-0.73466,-0.000540435,0.205128,47.2841,269.228,220.234,215.297,145.906,141.359,722.796,30.47,29.787,20.186,19.557,19.557
5,-0.12501,-0.72808,0.0255157,0.20454,47.6237,260.257,212.438,218.703,148.359,136.359,715.859,29.676,30.551,20.725,19.048,19.048
6,-0.24124,-0.72089,0.0522334,0.205515,49.4804,251.498,198.406,214.859,145.859,126.5,685.624,28.938,31.338,21.274,18.45,18.45
7,-0.35469,-0.70691,0.0773249,0.204784,52.2699,243.355,180.562,205.062,139.766,114.766,640.156,28.206,32.033,21.833,17.928,17.928
8,-0.47088,-0.688151,0.101413,0.204831,56.4946,235.617,157.109,185.844,127.672,98.6719,569.297,27.597,32.644,22.426,17.332,17.332
9,-0.0146499,0.74728,-0.000400178,-0.128413,48.3677,91.1231,153.609,152.672,198.594,197.938,702.813,21.856,21.723,28.257,28.164,21.723
10,0.435689,-0.76498,-0.103284,0.230744,61.6849,299.663,162.516,132.594,82.4219,102.031,479.563,33.888,27.649,17.187,21.276,17.187
11,0.0957595,-0.80727,-0.0234046,0.229892,54.3832,276.765,192.25,180.109,115.562,117.594,605.515,31.75,29.745,19.085,19.42,19.085
12,0.21172,-0.72256,-0.0509848,0.205267,48.8457,286.331,221.438,196.875,132.5,143.328,694.141,31.901,28.362,19.088,20.648,19.088
13,-0.27128,-0.33854,0.0510573,0.102067,25.7104,231.294,260.609,284.578,235.375,208.828,989.39,26.34,28.763,23.79,21.107,21.107
14,-0.1427,-0.34305,0.0250213,0.101421,21.811,247.414,278.203,288.547,238.891,223.484,1029.125,27.033,28.038,23.213,21.716,21.716
15,-0.497649,-0.41785,0.102667,0.128296,40.5273,220.018,206.281,248.422,195.953,155.344,806.0,25.593,30.822,24.312,19.273,19.273
16,-0.38306,-0.43238,0.0765935,0.127501,35.2859,228.461,230.125,263.359,207.844,174.031,875.359,26.289,30.086,23.744,19.881,19.881
17,0.656,-0.55892,-0.15293,0.178864,59.5211,319.569,174.469,128.812,89.1094,122.141,514.531,33.908,25.035,17.319,23.738,17.319
18,0.10381,-0.647961,-0.0257229,0.179632,41.0125,279.102,245.047,228.234,162.656,166.484,802.421,30.538,28.443,20.271,20.748,20.271
19,0.0933806,0.74323,-0.0250694,-0.128145,48.5102,82.8388,155.688,146.172,191.375,199.219,692.454,22.484,21.109,27.637,28.77,21.109
20,-0.13149,0.74522,0.0255821,-0.127635,49.1769,100.007,144.75,152.031,196.875,186.75,680.406,21.274,22.344,28.935,27.447,21.274
