,City
0,"Hyannis, MA"
1,"San Juan, PR"
2,"Cape Lisburne, AK"
3,"Ramona, CA"
4,"Morristown, NJ"
5,"Hibbing, MN"
6,"Nelson Lagoon, AK"
7,"Newport News/Williamsburg, VA"
8,"Port Moller, AK"
9,"Hogatza, AK"
10,"Wheeling, WV"
11,"Greenville, MS"
12,"Brownsville, TX"
13,"Hughes, AK"
14,"Oakland, CA"
15,"Portsmouth, NH"
16,"Tucson, AZ"
17,"Middletown, DE"
18,"Manteo, NC"
19,"Bend, OR"
20,"Oscoda, MI"
21,"Port Heiden, AK"
22,"Fort Yukon, AK"
23,"Pedro Bay, AK"
24,"Deming, NM"
25,"Minneapolis, MN"
26,"Village Islands, AK"
27,"Marathon, FL"
28,"Laredo, TX"
29,"Fort Jefferson, FL"
30,"Rota, TT"
31,"Kwigillingok, AK"
32,"Hartford, CT"
33,"Ames, IA"
34,"Bowling Green, KY"
35,"Hopkinsville, KY"
36,"Lakeport, CA"
37,"Churchville, MD"
38,"Fort Meade, MD"
39,"Glasgow, KY"
40,"Owensboro, KY"
41,"Kasaan, AK"
42,"Lynchburg, VA"
43,"Springfield, OH"
44,"Valparaiso, FL"
45,"Dora Bay, AK"
46,"Kiana, AK"
47,"St. Cloud, MN"
48,"Eau Claire, WI"
49,"Ocala, FL"
50,"Stillwater, OK"
51,"Millbrook, NY"
52,"Caldwell, NJ"
53,"Wrangell, AK"
54,"Hamilton, MT"
55,"Boise, ID"
56,"Smyrna, TN"
57,"Anniston, AL"
58,"Bethel, AK"
59,"Coatesville, PA"
60,"Poughkeepsie, NY"
61,"Martinsburg, WV"
62,"Port Lions, AK"
63,"Tokeen, AK"
64,"Islesboro, ME"
65,"Cross Keys, NJ"
66,"Laconia, NH"
67,"Schenectady, NY"
68,"Cleveland, OH"
69,"Illinois Creek, AK"
70,"Sitkinak, AK"
71,"Decatur Island, WA"
72,"Yakutat, AK"
73,"Columbus, MS"
74,"Indian Head, MD"
75,"Allakaket, AK"
76,"Gainesville, GA"
77,"Butler, PA"
78,"Zachar Bay, AK"
79,"Mount Holly, NJ"
80,"Moser Bay, AK"
81,"Lake Havasu City, AZ"
82,"Chignik Lagoon, AK"
83,"King Salmon, AK"
84,"Llano, TX"
85,"Texarkana, AR"
86,"San Antonio, TX"
87,"North Platte, NE"
88,"Hydaburg, AK"
89,"Racine, WI"
